Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2024-05-10 12:14:16,2024-05-12 10:12:14,Shop,-12.11,0.00,EUR,COMPLETED,487.89
CARD_PAYMENT,Current,2024-05-13 07:09:16,2024-05-14 13:43:16,Transfer,-53.39,0.63,EUR,COMPLETED,434.5
CARD_PAYMENT,Current,2024-05-14 22:58:16,2024-05-17 04:21:16,Bill Payment,-22.77,1.97,EUR,COMPLETED,411.73
TOPUP,Current,2024-05-15 20:25:16,2024-05-18 01:20:16,Shop Pay Top-Up,69.69,1.54,EUR,COMPLETED,481.42
CARD_PAYMENT,Current,2024-05-18 03:47:16,2024-05-21 12:05:16,Transfer,-56.93,0.64,EUR,COMPLETED,421.49
TOPUP,Current,2024-05-17 23:39:16,2024-05-20 20:17:16,Shop Pay Top-Up,78.36,1.66,EUR,COMPLETED,508.85
TOPUP,Current,2024-05-11 16:35:16,2024-05-14 16:59:16,Shop Pay Top-Up,33.49,4.38,EUR,COMPLETED,542.34
TOPUP,Current,2024-05-17 19:10:16,2024-05-21 18:39:16,Shop Pay Top-Up,23.43,0.39,EUR,COMPLETED,565.77
CARD_PAYMENT,Current,2024-05-14 17:41:16,2024-05-15 20:29:16,Discord,-35.13,1.42,EUR,COMPLETED,530.64
CARD_PAYMENT,Current,2024-05-17 05:52:16,2024-05-19 18:57:16,Bill Payment,-75.83,1.05,EUR,COMPLETED,454.81
